"","word","n","star_rating"
"997","zipper",67,1
"998","advertising",66,1
"999","contacting",66,1
"1000","disk",66,1
"1001","doubt",66,1
"1002","finger",66,1
"1003","mac",66,1
"1004","picked",66,1
"1005","slide",66,1
"1006","supply",66,1
"1007","watt",66,1
"1008","2013",65,1
"1009","4g",65,1
"1010","ability",65,1
"1011","application",65,1
"1012","aware",65,1
"1013","biggest",65,1
"1014","choice",65,1
"1015","confusing",65,1
"1016","dark",65,1
"1017","downloaded",65,1
"1018","ebay",65,1
"1019","ereader",65,1
"1020","fairly",65,1
"1021","frustrated",65,1
"1022","genuine",65,1
"1023","pressure",65,1
"1024","ran",65,1
"1025","random",65,1
"1026","resolution",65,1
"1027","shame",65,1
"1028","touchscreen",65,1
"1029","transmit",65,1
"1030","16",64,1
"1031","basic",64,1
"1032","begin",64,1
"1033","build",64,1
"1034","changing",64,1
"1035","cons",64,1
"1036","disc",64,1
"1037","easier",64,1
"1038","lucky",64,1
"1039","performance",64,1
"1040","pressing",64,1
"1041","print",64,1
"1042","pros",64,1
"1043","questions",64,1
"1044","scratch",64,1
"1045","screws",64,1
"1046","tom",64,1
"1047","watts",64,1
"1048","ad",63,1
"1049","applied",63,1
"1050","condition",63,1
"1051","connects",63,1
"1052","copy",63,1
"1053","fitting",63,1
"1054","frustration",63,1
"1055","kenwood",63,1
"1056","kobo",63,1
"1057","meant",63,1
"1058","pass",63,1
"1059","priced",63,1
"1060","recharge",63,1
"1061","request",63,1
"1062","starting",63,1
"1063","stays",63,1
"1064","suck",63,1
"1065","thick",63,1
"1066","tool",63,1
"1067","accessories",62,1
"1068","automatically",62,1
"1069","external",62,1
"1070","operation",62,1
"1071","sadly",62,1
"1072","bubble",61,1
"1073","durable",61,1
"1074","earphones",61,1
"1075","initial",61,1
"1076","initially",61,1
"1077","iphones",61,1
"1078","moving",61,1
"1079","pop",61,1
"1080","pos",61,1
"1081","proof",61,1
"1082","removing",61,1
"1083","talking",61,1
"1084","200",60,1
"1085","cameras",60,1
"1086","ears",60,1
"1087","fan",60,1
"1088","games",60,1
"1089","housing",60,1
"1090","keyboard",60,1
"1091","lens",60,1
"1092","luckily",60,1
"1093","photos",60,1
"1094","playback",60,1
"1095","remember",60,1
"1096","research",60,1
"1097","technology",60,1
"1098","ten",60,1
"1099","wifi",60,1
"1100","apps",59,1
"1101","bigger",59,1
"1102","choose",59,1
"1103","dirt",59,1
"1104","functionality",59,1
"1105","google",59,1
"1106","loss",59,1
"1107","storage",59,1
"1108","supplied",59,1
"1109","updates",59,1
"1110","usa",59,1
"1111","wide",59,1
"1112","advise",58,1
"1113","backup",58,1
"1114","boat",58,1
"1115","burned",58,1
"1116","computers",58,1
"1117","distorted",58,1
"1118","failure",58,1
"1119","finding",58,1
"1120","louder",58,1
"1121","reach",58,1
"1122","receipt",58,1
"1123","scam",58,1
"1124","section",58,1
"1125","snapped",58,1
"1126","stylus",58,1
"1127","45",57,1
"1128","carefully",57,1
"1129","continue",57,1
"1130","hardware",57,1
"1131","motorcycle",57,1
"1132","screens",57,1
"1133","stayed",57,1
"1134","telling",57,1
"1135","throwing",57,1
"1136","toyota",57,1
"1137","vision",57,1
"1138","appeared",56,1
"1139","buyers",56,1
"1140","disconnect",56,1
"1141","displays",56,1
"1142","fried",56,1
"1143","hdmi",56,1
"1144","intended",56,1
"1145","max",56,1
"1146","moment",56,1
"1147","mounted",56,1
"1148","overnight",56,1
"1149","pleased",56,1
"1150","portion",56,1
"1151","proper",56,1
"1152","replacing",56,1
"1153","restart",56,1
"1154","smoke",56,1
"1155","tracking",56,1
"1156","travel",56,1
"1157","upgrade",56,1
"1158","12v",55,1
"1159","arrival",55,1
"1160","awesome",55,1
"1161","breaking",55,1
"1162","causing",55,1
"1163","cd's",55,1
"1164","cuts",55,1
"1165","discovered",55,1
"1166","fails",55,1
"1167","freezes",55,1
"1168","moved",55,1
"1169","needless",55,1
"1170","panel",55,1
"1171","possibly",55,1
"1172","requested",55,1
"1173","responded",55,1
"1174","sensor",55,1
"1175","steering",55,1
"1176","supplier",55,1
"1177","suspect",55,1
"1178","amazing",54,1
"1179","ball",54,1
"1180","dissapointed",54,1
"1181","froze",54,1
"1182","inferior",54,1
"1183","leaves",54,1
"1184","models",54,1
"1185","pressed",54,1
"1186","runs",54,1
"1187","sirius",54,1
"1188","style",54,1
"1189","tip",54,1
"1190","wired",54,1
"1191","afraid",53,1
"1192","code",53,1
"1193","disconnected",53,1
"1194","honestly",53,1
"1195","loop",53,1
"1196","perform",53,1
"1197","prior",53,1
"1198","question",53,1
"1199","ridiculous",53,1
"1200","seat",53,1
"1201","sets",53,1
"1202","solid",53,1
"1203","sticks",53,1
"1204","wouldnt",53,1
"1205","yesterday",53,1
"1206","bring",52,1
"1207","cleaner",52,1
"1208","components",52,1
"1209","dashboard",52,1
"1210","friends",52,1
"1211","guys",52,1
"1212","kinda",52,1
"1213","pad",52,1
"1214","pre",52,1
"1215","saved",52,1
"1216","street",52,1
"1217","voltage",52,1
"1218","walmart",52,1
"1219","2009",51,1
"1220","bike",51,1
"1221","brought",51,1
"1222","buds",51,1
"1223","calling",51,1
"1224","edit",51,1
"1225","family",51,1
"1226","frequently",51,1
"1227","headache",51,1
"1228","movies",51,1
"1229","navigate",51,1
"1230","originally",51,1
"1231","ports",51,1
"1232","previously",51,1
"1233","professional",51,1
"1234","rid",51,1
"1235","success",51,1
"1236","toy",51,1
"1237","warned",51,1
"1238","wet",51,1
"1239","500",50,1
"1240","accident",50,1
"1241","bent",50,1
"1242","bump",50,1
"1243","bunch",50,1
"1244","dc",50,1
"1245","details",50,1
"1246","engine",50,1
"1247","extender",50,1
"1248","flip",50,1
"1249","floor",50,1
"1250","lasts",50,1
"1251","learn",50,1
"1252","manually",50,1
"1253","nicely",50,1
"1254","numerous",50,1
"1255","pairing",50,1
"1256","pouch",50,1
"1257","route",50,1
"1258","sim",50,1
"1259","speak",50,1
"1260","subs",50,1
"1261","tabs",50,1
"1262","ups",50,1
"1263","circuit",49,1
"1264","envelope",49,1
"1265","functioning",49,1
"1266","messages",49,1
"1267","rca",49,1
"1268","recorder",49,1
"1269","sit",49,1
"1270","surprise",49,1
"1271","till",49,1
"1272","trade",49,1
"1273","waist",49,1
"1274","wasnt",49,1
"1275","whatsoever",49,1
"1276","youtube",49,1
"1277","agree",48,1
"1278","brands",48,1
"1279","country",48,1
"1280","degrees",48,1
"1281","expectations",48,1
"1282","fair",48,1
"1283","finish",48,1
"1284","guarantee",48,1
"1285","informed",48,1
"1286","lousy",48,1
"1287","managed",48,1
"1288","manufactured",48,1
"1289","reviewer",48,1
"1290","story",48,1
"1291","testing",48,1
"1292","usable",48,1
"1293","2014",47,1
"1294","album",47,1
"1295","alot",47,1
"1296","complaint",47,1
"1297","feeling",47,1
"1298","foot",47,1
"1299","handling",47,1
"1300","helps",47,1
"1301","intuitive",47,1
"1302","lines",47,1
"1303","logo",47,1
"1304","offers",47,1
"1305","peel",47,1
"1306","posted",47,1
"1307","radar",47,1
"1308","sales",47,1
"1309","securely",47,1
"1310","smart",47,1
"1311","step",47,1
"1312","sturdy",47,1
"1313","switched",47,1
"1314","tells",47,1
"1315","tune",47,1
"1316","attention",46,1
"1317","average",46,1
"1318","car's",46,1
"1319","chose",46,1
"1320","city",46,1
"1321","distance",46,1
"1322","dual",46,1
"1323","expense",46,1
"1324","inserted",46,1
"1325","keeping",46,1
"1326","mailed",46,1
"1327","materials",46,1
"1328","min",46,1
"1329","movie",46,1
"1330","pause",46,1
"1331","slides",46,1
"1332","spring",46,1
"1333","suggested",46,1
"1334","2010",45,1
"1335","3.5mm",45,1
"1336","70",45,1
"1337","adaptor",45,1
"1338","adhesive",45,1
